,Description,scores_overall
Aston University,"Aston University (abbreviated as Aston. for post-nominals) is a public research university situated in the city centre of Birmingham, England. Aston began as the Birmingham Municipal Technical School in 1895, evolving into the UK's first College of Advanced Technology in 1956. Aston University received its royal charter from Queen Elizabeth II on 22 April 1966. Aston pioneered the integrated placement year concept over 50 years ago, and more than 73% of Aston students take a placement year, the highest percentage in the UK. In 2020, Aston University was named ""University of the Year"" by The Guardian, and the newspaper also awarded Aston Students' Union its ""Buildings That Inspire"" award. The Times Higher Education Awards named Aston University as its ""Outstanding Entrepreneurial University"" in 2020. In September 2021, Aston was shortlisted for University of the Year in the Times Higher Education Awards 2021.",47.2
Atatürk University,"Atatürk University (Turkish: Atatürk Üniversitesi) is a land-grant university established in 1957 in Erzurum, Turkey. The university consists of 23 faculties, 18 colleges, 8 institutes and 30 research centers. Atatürk University's main campus is in Erzurum, one of the largest cities in Eastern Anatolia. It is now one of the city's most significant resources. Since its establishment in 1957, it has served as a hub of educational and cultural excellence for the eastern region.",25.5
Athens University of Economics and Business,"Athens University of Economics and Business (AUEB; Greek: Οικονομικό Πανεπιστήμιο Αθηνών, Oikonomiko Panepistimio Athinon, abbrev. ΟΠΑ, OPA) was founded in 1920 in Athens, Greece and is the oldest university in Greece in the field of economics. Before 1989, the university was known in Greek as the Supreme School of Economics and Business (Ανωτάτη Σχολή Οικονομικών και Εμπορικών Επιστημών, Anotati Scholi Oikonomikon kai Emborikon Epistimon, abbrev. ΑΣΟΕΕ, ASOEE). Though the university of business's official name has changed, it is still known popularly in Greek by this former acronym.",34.8
Auburn University,"Auburn University (AU or Auburn) is a public land-grant research university in Auburn, Alabama. With more than 24,600 undergraduate students and a total enrollment of more than 30,000 with 1,330 faculty members, Auburn is the second largest university in Alabama. It is one of the state's two public flagship universities. The university is classified among ""R1: Doctoral Universities – Very High Research Activity"" and its alumni include 5 Rhodes Scholars and 5 Truman Scholars. Auburn was chartered on February 1, 1856, as East Alabama Male College, a private liberal arts school affiliated with the Methodist Episcopal Church, South. In 1872, under the Morrill Act, it became the state's first land-grant university and was renamed as the Agricultural and Mechanical College of Alabama. In 1892, it became the first four-year coeducational school in Alabama, and in 1899 was renamed Alabama Polytechnic Institute (API) to reflect its changing mission. In 1960, its name was changed to Auburn University to acknowledge the varied academic programs and larger curriculum of a major university.",43.599999999999994
Abdelmalek Essaâdi University,"Abdelmalek Essaâdi University (Arabic: جامعة عبدالمالك السعدي) is a Moroccan public university created in 1989. It is considered to be the main university in the North of the Morocco. This university is made up of 15 institutions, including schools and establishments spread across the Tanger-Tétouan-AL Hoceima region and in the city of Larache. It covers the fields of science, law, economics, humanities and letters and technology. In 2016, the University established the CONFUCIUS Institute for Chinese Language Learning, the third nationwide institute.",16.2
Changsha University of Science and Technology,"Changsha University of Science and Technology ( CSUST; simplified Chinese: 长沙理工大学; traditional Chinese: 長沙理工大學; pinyin: Chángshā Lǐgōng Dàxué ; Chinese abbr. 长沙理工) is located in Changsha, Hunan province, China. The university is a provincial key university of Hunan. As of 2022, the Best Chinese Universities Ranking, also known as the ""Shanghai Ranking"", placed the university 5th in Hunan.",34.8
Charles Darwin University,"Charles Darwin University (CDU) is an Australian public university with a main campus in Darwin and eight satellite campuses in some metropolitan and regional areas. It was established in 2003 after the merger of Northern Territory University, the Menzies School of Health Research, and Centralian College. CDU is a member of the group of seven Innovative Research Universities in Australia, and offers academic degrees as well as vocational education.",47.2
Charles Sturt University,"Charles Sturt University is an Australian multi-campus public university located in New South Wales, Australian Capital Territory and Victoria. Established in 1989, it was named in honour of Captain Charles Napier Sturt, a British explorer who made expeditions into regional New South Wales and South Australia. Charles Sturt offers undergraduate, postgraduate, higher degrees by research and single subject study. It also has course delivery partnerships with several TAFE institutions across Australia, including with the New South Wales Police Force.",34.8
Charles University,"Charles University (Czech: Univerzita Karlova, UK; Latin: Universitas Carolina; German: Karls-Universität), also known as Charles University in Prague or historically as the University of Prague (Latin: Universitas Pragensis), is the oldest and largest university in the Czech Republic. It is one of the oldest universities in Europe in continuous operation. Today, the university consists of 17 faculties located in Prague, Hradec Králové, and Plzeň. Charles University belongs among the top three universities in Central and Eastern Europe. It is ranked around 200–300 in the world.",47.2
China Pharmaceutical University,"China Pharmaceutical University (CPU) is a university in Nanjing, China that specializes in the pharmaceutical sciences. It is one of national key universities under the Double First Class University Plan and former “Project 211” and universities selected for the ""985 Innovative Platforms for Key Disciplines Project"" affiliated with the Chinese Ministry of Education, also, the university is included in the Double First Class University Plan designed by the Chinese central government.",30.450000000000003
Chongqing University,"Chongqing University (CQU; Chinese: 重庆大学, colloquially abbreviated as ChóngDà) is a public research university located in Chongqing, China. It is a National Key University directly funded by the central government of China as part of the Double First Class University Plan, Project 211 and Project 985 and a member of the ""Excellence League"". It is also designated by the Chinese Ministry of Education as a Class A Double First Class University. Chongqing University is especially highly recognized in Architecture, Electrical Engineering, Civil Engineering, Mechanical Engineering, Metallurgical Engineering, and Management Science. According to Academic Ranking of World Universities 2021, CQU is ranked between 201st-300th among world universities.",50.05
Jiangsu Normal University,"Jiangsu Normal University (simplified Chinese: 江苏师范大学; traditional Chinese: 江蘇師範大學; pinyin: Jiāngsū Shīfàn Dàxué) is a provincial key university located in Xuzhou, Jiangsu province, China. It was jointly constructed by the Chinese Ministry of Education and the Government of Jiangsu Province.",25.5
Jiangsu University,"Jiangsu University (simplified Chinese: 江苏大学; traditional Chinese: 江蘇大學; pinyin: Jiāngsū Dàxué) is a highly ranked and prestigious doctoral research university located in Zhenjiang, Jiangsu Province, People's Republic of China (PRC). It is a National Key University jointly developed by the Jiangsu Provincial Government, Chinese Ministry of Education, and The Ministry of Agriculture and Rural Affairs of the People's Republic of China.",39.4
Kansas State University,"Kansas State University (KSU, Kansas State, or K-State) is a public land-grant research university with its main campus in Manhattan, Kansas, United States. It was opened as the state's land-grant college in 1863 and was the first public institution of higher learning in the state of Kansas. It had a record high enrollment of 24,766 students for the Fall 2014 semester. The university is classified among ""R1: Doctoral Universities – Very high research activity"". Kansas State's academic offerings are administered through nine colleges, including the College of Veterinary Medicine and the College of Technology and Aviation in Salina. Graduate degrees offered include 65 master's degree programs and 45 doctoral degrees. Branch campuses are in Salina and Olathe. The Kansas State University Salina Aerospace and Technology Campus is home to the College of Technology and Aviation. The Olathe Innovation Campus has a focus on graduate work in research bioenergy, animal health, plant science and food safety and security.",39.4
Karadeniz Technical University,"Karadeniz Technical University (Turkish: Karadeniz Teknik Üniversitesi or KTÜ) is a public research university in Trabzon, in the Black Sea Region of Turkey. Established in 1955, it is the fourth oldest university in Turkey. Karadeniz Technical University is a state university institution subject to the Law No. 2547 on Higher Education in Turkey. It is supported mainly by state funds allocated by the Turkish Parliament. The university has 80 departments, 12 faculties and 6 graduate schools. With 2,159 teaching staff and 31,858 students, Karadeniz Technical University is one of the largest universities in Turkey.",16.2
Karlsruhe Institute of Technology,"The Karlsruhe Institute of Technology (KIT; German: Karlsruher Institut für Technologie) is a public research university in Karlsruhe, Germany. The institute is a national research center of the Helmholtz Association. KIT was created in 2009 when the University of Karlsruhe (Universität Karlsruhe), founded in 1825 as a public research university and also known as the ""Fridericiana"", merged with the Karlsruhe Research Center (Forschungszentrum Karlsruhe), which had originally been established in 1956 as a national nuclear research center (Kernforschungszentrum Karlsruhe, or KfK). KIT is a member of the TU9, an incorporated society of the largest and most notable German institutes of technology. As part of the German Universities Excellence Initiative KIT was one of three universities which were awarded excellence status in 2006. In the following ""German Excellence Strategy"" KIT was awarded as one of eleven ""Excellence Universities"" in 2019. KIT is among the leading technical universities in Germany and Europe. According to different bibliometric rankings, KIT is the German university with the strongest research in engineering and natural sciences. In the university part of today's KIT, science-based mechanical engineering was founded in the mid-19th century under the direction of Ferdinand Redtenbacher, which influenced the foundation of other technical universities, such as ETH Zurich in 1855. The university is also among the pioneers of computer science research in Germany. It established the first German faculty for computer science in 1972. On 2 August 1984, the University received the first-ever German e-mail. In the 1990s, all .de domains were registered and managed at the University of Karlsruhe. The same was true for Chinese .cn domains. KIT alumni and faculty include six Nobel Prize laureates and nine Leibniz Prize winners. The Karlsruhe Institute of Technology is well known for many inventors and entrepreneurs who studied or taught there, including Heinrich Hertz, Karl Friedrich Benz and the founders of SAP SE.",62.8
Karolinska Institute,"The Karolinska Institute (KI; Swedish: Karolinska Institutet; sometimes known as the (Royal) Caroline Institute in English) is a research-led medical university in Solna within the Stockholm urban area of Sweden. The Karolinska Institute is consistently ranked amongst the world's best medical schools, ranking 6th worldwide for medicine in 2021. The Nobel Assembly at the Karolinska Institute awards the Nobel Prize in Physiology or Medicine. The assembly consists of fifty professors from various medical disciplines at the university. The current rector of Karolinska Institute is Ole Petter Ottersen, who took office in August 2017. The Karolinska Institute was founded in 1810 on the island of Kungsholmen on the west side of Stockholm; the main campus was relocated decades later to Solna, just outside Stockholm. A second campus was established more recently in Flemingsberg, Huddinge, south of Stockholm. The Karolinska Institute is Sweden's third oldest medical school, after Uppsala University (founded in 1477) and Lund University (founded in 1666). It is one of Sweden's largest centres for training and research, accounting for 30% of the medical training and more than 40% of all academic medical and life science research conducted in Sweden. The Karolinska University Hospital, located in Solna and Huddinge, is associated with the university as a research and teaching hospital. Together they form an academic health science centre. While most of the medical programs are taught in Swedish, the bulk of the PhD projects are conducted in English. The institute's name is a reference to the Caroleans.",75.9
Kastamonu University,"Kastamonu University (Turkish: Kastamonu Üniversitesi) is a public university located in Kastamonu and some of its districts, Turkey. It was established in 2006 after some colleges and schools in Kastamonu, which were administered by Ankara University and Gazi University, were gathered under one institution.",16.2
Kazan Federal University,"Kazan (Volga region) Federal University (Russian: Казанский (Приволжский) федеральный университет, Tatar: Казан (Идел буе) федераль университеты) is a public research university located in Kazan, Russia. Founded in 1804 as Imperial Kazan University, astronomer Nikolai Ivanovich Lobachevsky served there as the rector from 1837 until 1876. In 1929, the university was renamed in honour of its student Vladimir Ilyich Ulyanov (Lenin). The university is known as the birthplace of organic chemistry due to works by Aleksandr Butlerov, Vladimir Markovnikov, Aleksandr Arbuzov, and the birthplace of electron spin resonance discovered by Evgeny Zavoisky. In 2011, Kazan University received a federal status. It is also one of 18 Russian universities that were initially selected to participate in the Project 5-100, coordinated by the Government of the Russian Federation and aimed to improve their international competitiveness among the world's leading research and educational centers. As of July 2021, the university comprised 19 primary educational units, 2 of which were territorial branches. More than 50,000 students were enrolled in over 700 degree programs at undergraduate and postgraduate level (including doctoral and double-degree programs with partner universities); the number of international students was about 10,000 from 109 countries. Research priority areas are concentrated on biomedicine and pharmaceutics, oil extraction, oil refining and petrochemistry, communications and aerospace technologies, advanced materials, and social sciences and humanities. In 2022 the university was ranked #801-1,000 in the world by Times Higher Education, #824 in Best Global Universities by U.S. News & World Report, #1,064 by the Center for World University Rankings.",34.8
Kazan State Medical University,"Based primarily in Kazan, Tatarstan, Russia, the Kazan State Medical University (KSMU) is a federal university made up of nine faculties. The university got the license on 6 March 1994 by the State Committee of the Russian Federation of Higher Education. Kazan State Medical University is a multifunctional and multi-levelled state institution ofhigher learning in medicine. KSMU functions on the basis of self-governance and belongs to the system of Higher Education and Scientific Research of the Ministry of Health of Russia. On March 6, 1994, the university was issued with a license number 16 G – 235 by the StateCommittee of Russian Federation of Higher Education which grants the right to performactivities in the field of professional education.Under the auspices of Kazan State Medical University, there is a pharmaceutical and two medical colleges in Kazan, one medical college Mary EI Republic, lycee and biomedical classes on the secondary school basis. According to the results of a rating of medical schools, KSMU takes the 16 place among 86other universities.Founded in 1814, KSMU was the second university institution to be founded in Kazan, the third medical university institution in the Russia.",16.2
Kharazmi University,"Kharazmi University (Persian: دانشگاه خوارزمی, Daneshgah-e Xuarazmi) is a major public research university in Iran, named after Khwarizmi (c. 780–850), Persian mathematician, astronomer and geographer, offering a wide range of undergraduate and postgraduate programs in a variety of disciplines. Kharazmi University is considered as the oldest institution of higher education in Iran. It was established in 1919 as the Central Teachers' Institute and gained university status as Tarbiat Moallem University of Tehran in 1974. It changed its name to Kharazmi University on January 31, 2012. In 2015, the University of Economic Sciences (founded in 1936) was merged into Kharazmi University as its faculty of management, faculty of financial sciences and faculty of economics. The university has two main campuses, the main campus including administration offices located in Tehran, another is in the Hesarak district of Karaj. Kharazmi University School of Engineering won international rankings of 601-800th in 2019, 2020, and 2021. It ranked 6th and 10th in industrial incomes among Iranian universities in 2020 for Civil Engineering and Education.",25.5
Khulna University,"Khulna University (Bengali: খুলনা বিশ্ববিদ্যালয়) is a public university in Gollamari, Khulna, Bangladesh. It is near the river Moyur, beside the Sher e Bangla Road (Khulna-Satkhira highway). The academic programs of Khulna University started on 31 August 1991 with 80 students in four disciplines. As of November 2019, the university has 29 disciplines under six schools and two institutes. It is the only public university in Bangladesh where student politics is not allowed.",25.5
King Faisal University,"King Faisal University (KFU) (Arabic: جامعة الملك فيصل Ğāmiʿat al-Malak Fayṣal) is a public university with the main campus in the city of Hofuf in Al Ahsa, Saudi Arabia founded in 1975. KFU was initially established with four colleges: two in Dammam and the other two in Al-Ahsa. Later, the colleges in Dammam have been segregated to become the Imam Abdulrahman Bin Faisal University.",34.8
King Mongkut's University of Technology North Bangkok,"King Mongkut's University of Technology North Bangkok (Abrv: KMUTNB Thai: มจพ.; Thai: มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ, RTGS: Maha Witthayalai Teknoloyi Phra Jom Khlao Phra Nakhon Nuea), colloquially known as Phra Nakhon Nuea (Thai: พระนครเหนือ) is a public technology university in Thailand. KMUTNB was jointly founded by the Royal Thai Government and the Federal Republic of Germany as the North Bangkok Technical School in 1959; colloquially known as Thai-German Technical School. In 1964, the school was upgraded to ""Thai-German Technical College"" before becoming King Mongkut's Institute of Technology North Bangkok Campus in 1971. Later in 1986, King Mongkut's Institute of Technology separated into three autonomous universities and the North Bangkok campus became King Mongkut's Institute of Technology North Bangkok. In 1995, KMUTNB extended its educational obligations to the rural areas, leading to the creation of the Prachinburi campus in Prachinburi province. Later in 2007, King Mongkut’s Institute of Technology North Bangkok was renamed “King Mongkut’s University of Technology North Bangkok ” and became an autonomous state university. Presently, the university has three campuses located in Bangkok, Rayong and Prachinburi provinces. It has 13 faculties, 2 colleges and 2 graduate schools. Degrees offered range from vocational certificate to doctorates.",25.5
King Saud University,"King Saud University (KSU, Arabic: جامعة الملك سعود) is a public university in Riyadh, Saudi Arabia. Established in 1957 by King Saud bin Abdulaziz to address the country's skilled worker shortage, it is the first university in the Kingdom of Saudi Arabia. The university was known as Riyadh University before a name change in 1982. The student body of KSU today consists of 40,000 male and female students, 7% of which are international. The female students have their own disciplinary panel, and there is a center supervising the progress of female students, either personally by female faculty members or by male faculty members via a closed television network. The university offers courses in the natural sciences, the humanities, and professional studies, and many courses are tuition-free. The medium of instruction in undergraduate programs is English and Arabic depending on the chosen major. Among Arab universities, its medical programs are highly regarded.",47.2
La Trobe University,"La Trobe University is a public research university based in Melbourne, Victoria, Australia. Its main campus is located in the suburb of Bundoora. The university was established in 1964, becoming the third university in the state of Victoria and the twelfth university in Australia. La Trobe is one of the Australian verdant universities and also part of the Innovative Research Universities group. La Trobe's original and principal campus is located in the Melbourne metropolitan area, within the northern Melbourne suburb of Bundoora. It is the largest metropolitan campus in the country, occupying over 267 hectares (660 acres). It has two other major campuses located in the regional Victorian city of Bendigo and the twin border cities of Albury-Wodonga. There are two smaller regional campuses in Mildura and Shepparton and a city campus in Melbourne's CBD on Collins Street and in Sydney on Elizabeth Street. La Trobe offers undergraduate and postgraduate courses across its two colleges of Arts, Social Science and Commerce (ASSC) and Science, Health and Engineering (SHE). In 2015, it was ranked in the top 100 universities under 50 by the Times Higher Education World University Rankings. In the 2021 QS World University Rankings, it was ranked in the top 300 universities for arts and humanities.",54.45
Lakehead University,"Lakehead University is a public research university with campuses in Thunder Bay and Orillia, Ontario, Canada. Lakehead University, shortened to 'Lakehead U', is non-denominational and provincially supported. It has undergraduate programs, graduate programs, the Bora Laskin Faculty of Law, the only internationally accredited (AACSB) business school in northern Ontario, and is home to the western campus of the Northern Ontario School of Medicine. Lakehead has more than 45,000 alumni. The main campus in Thunder Bay has about 7,900 students. As of September 2006, a new permanent extension campus in Orillia, located about 150 kilometres (93 mi) north of Toronto, has about 1,400 students.",34.8
Lancaster University,"Lancaster University (legally The University of Lancaster) is a public research university in Lancaster, Lancashire, England. The university was established in 1964 by royal charter, as one of several new universities created in the 1960s. The university was initially based in St Leonard's Gate in the city centre, before starting a move in 1967 to a purpose-built 300 acres (120 ha) campus at Bailrigg, 4 km (2.5 mi) to the south. The campus buildings are arranged around a central walkway known as the Spine, which is connected to a central plaza, named Alexandra Square in honour of its first chancellor, Princess Alexandra. Lancaster is a residential collegiate university; the colleges are weakly autonomous. The eight undergraduate colleges are named after places in the historic county of Lancashire, and each has its own campus residence blocks, common rooms, administrative staff and bars. Lancaster is ranked in the top thirteen in all three national league tables, and received a Gold rating in the Government's inaugural (2017) Teaching Excellence Framework. The annual income of the institution for 2018/19 was £317.9 million of which £42.0 million was from research grants and contracts, with an expenditure of £352.7 million. Along with the universities of Durham, Leeds, Liverpool, Manchester, Newcastle, Sheffield and York, Lancaster is a member of the N8 Group of research universities. Elizabeth II, Duke of Lancaster, was the visitor of the university. The current chancellor is Alan Milburn, since 2015.",61.8
Lebanese University,"The Lebanese University (LU) (French: Université Libanaise, Arabic: الجامعة اللبنانية) is the only public university in Beirut, Lebanon. It is ranked #701–750 worldwide in terms of education. The creation of the Lebanese University was an idea first mentioned in the speech of the former Minister of Foreign Affairs, Mr Hamid Frangieh, during the closing ceremony of the Third UNESCO Conference in Beirut held on 11 December 1948, during which he said: ""Lebanon hopes to see the creation of a Lebanese university having the spirit of UNESCO.""",34.8
Sun Yat-sen University,"Sun Yat-sen University (Chinese: 中山大学; pinyin: Zhōngshān Dàxué, abbreviated SYSU and colloquially known in Chinese as Zhongda), also known as Zhongshan University, is a national key public research university located in Guangzhou, Guangdong, China. It was founded in 1924 by and named after Sun Yat-sen, a revolutionary and the founder of the Republic of China. Its main campus, commonly referred to as the South Campus, is located in Haizhu District, Guangzhou, inheriting the campus from the former Lingnan University (est. 1888). The university has five campuses in the three cities of Guangzhou, Zhuhai and Shenzhen, and ten affiliated hospitals. It is a member of the nation's Double First Class University Plan, Project 985, and Project 211 for leading research universities. Two of the university's business education institutions, Sun Yat-sen Business School (SYSBS) and Lingnan (University) College are accredited by EQUIS, AACSB, and AMBA. It is the only university with multiple business institutions to hold this triple accreditation. Lingnan (University) College is No.1 in Asia-Pacific for both Financial Times (FT) Business School Rankings and World University Rankings (QS) Business Masters Rankings. The university's assets include the world's second fastest supercomputer Tianhe-2, which is valued at 2.4 billion CNY (US$390 million). It also owns the largest hospital system in China. SYSU Zhuhai Campus owns the largest teaching building in Asia measured by acreage. Sun Yat-sen University ranks 79th globally, 11th in Asia and 7th in mainland China in the 2022 Academic Ranking of World Universities. SYSU ranked 129th globally, 20th in Asia and 10th in mainland China by the 2023 U.S. News & World Report Best Global Universities Rankings. Regarding scientific research output, the Nature Index 2022 ranked SYSU the No.10 university in the Asia Pacific region, and 18th in the world among the global universities. Its programs in business, management, mathematics, physics, chemistry, biology, medicine and pharmacy are among the best in the nation. SYSU is a highly selective university that only accepts top 1% students performed in the National College Entrance Examination.",57.25
Suranaree University of Technology,"The Suranaree University of Technology (Thai: มหาวิทยาลัยเทคโนโลยีสุรนารี, (SUT) is in Nakhon Ratchasima Province, Thailand. The university was established on 27 July 1990, becoming fully operational in 1993. It is named after Thao Suranari, the local heroine of Nakhon Ratchasima. It is one of nine National Research Universities of Thailand. Suranaree University of Technology has employed the trimester credit system since 1993 for more efficient use of time, and to avoid the semester systemus summer session that usually is only half of the regular term in duration. The trimester system also enables students to take advantage of the cooperative education and career experience, so that they have sufficient time in the work site. The university houses the Synchrotron Light Research Institute (SLRI), formerly the National Synchrotron Research Center (NSRC) that enables advanced research on physics, materials science, and related areas.",25.5
Swansea University,"Swansea University (Welsh: Prifysgol Abertawe) is a public research university located in Swansea, Wales, United Kingdom. It was chartered as University College of Swansea in 1920, as the fourth college of the University of Wales. In 1996, it changed its name to the University of Wales Swansea following structural changes within the University of Wales. The title of Swansea University was formally adopted on 1 September 2007 when the University of Wales became a non-membership confederal institution and the former members became universities in their own right. Swansea University has three faculties across its two campuses which are located on the coastline of Swansea Bay. The Singleton Park Campus is set in the grounds of Singleton Park to the west of Swansea city centre. The £450 million Bay Campus, which opened in September 2015, is located next to Jersey Marine Beach to the east of Swansea in the Neath Port Talbot area. It is the third largest university in Wales in terms of number of students. It offers about 450 undergraduate courses, 280 postgraduate taught and 150 postgraduate research courses to 20,375 undergraduate and postgraduate students.",54.45
Swinburne University of Technology,"Swinburne University of Technology (often simply called Swinburne) is a public research university based in Melbourne, Australia. It was founded in 1908 as the Eastern Suburbs Technical College by George Swinburne to serve those without access to further education in Melbourne's eastern suburbs. Its main campus is in Hawthorn, a suburb of Melbourne, 7.5 km from the Melbourne central business district. In addition to its main Hawthorn campus, it has campuses in the Melbourne metropolitan area at Wantirna and Croydon; in Sarawak, Malaysia; and in Sydney. In the 2020 Student Experience Survey, Swinburne was ranked equal 1st place in Victoria for the ’entire education experience’ for undergraduate students, with an overall satisfaction rate of 80 per cent. Swinburne is the only academic institution in Melbourne that offers pilot training from the aviation degrees.",57.25
Süleyman Demirel University,"Süleyman Demirel University (SDU) (Turkish: Süleyman Demirel Üniversitesi) is a public university located in Isparta, Turkey. Established in 1992, the university, with around 70.000 students, is the second largest academic institution in Turkey. SDU is known for its programs in agricultural research, medicine, engineering, and business sciences. The university (Institution Code: TR ISPARTA01) is approved by the Erasmus programme for participation and funding. SDU is a member of European University Association.",16.2
TU Dresden,"TU Dresden (for German: Technische Universität Dresden, abbreviated as TUD and often wrongly translated as ""Dresden University of Technology"") is a public research university, the largest institute of higher education in the city of Dresden, the largest university in Saxony and one of the 10 largest universities in Germany with 32,389 students as of 2018. The name Technische Universität Dresden has only been used since 1961; the history of the university, however, goes back nearly 200 years to 1828. This makes it one of the oldest colleges of technology in Germany, and one of the country’s oldest universities, which in German today refers to institutes of higher education that cover the entire curriculum. The university is a member of TU9, a consortium of the nine leading German Institutes of Technology. The university is one of eleven German universities which succeeded in the Excellence Initiative in 2012, thus getting the title of a ""University of Excellence"". The TU Dresden succeeded in all three rounds of the German Universities Excellence Initiative (Future Concept, Graduate Schools, Clusters of Excellence).",61.4
TU Wien,"TU Wien (TUW; German: Technische Universität Wien; still known in English as the Vienna University of Technology from 1975–2014) is one of the major universities in Vienna, Austria. The university finds high international and domestic recognition in teaching as well as in research, and it is a highly esteemed partner of innovation-oriented enterprises. It currently has about 28,100 students (29% women), eight faculties and about 5,000 staff members (3,800 academics). The university's teaching and research is focused on engineering, computer science, and natural sciences.",54.45
Taif University,"Taif University is located in Al Hawiyah, Ta’if, Saudi Arabia. It was established in 2004. The University is one of three created by TU.",43.599999999999994
Dicle University,"Dicle University (Turkish: Dicle Üniversitesi, Kurdish: Zanîngeha Dîcleyê) is a public university located in Diyarbakır, Turkey, and one of the largest higher education institution. Vocational schools are located in Ergani, Çermik, Çüngüş, Bismil, and Silvan",16.2
Diponegoro University,"Diponegoro University (Javanese: ꦈꦤꦶꦥ꦳ꦼꦂꦱꦶꦠꦱ꧀ꦢꦶꦥꦤꦼꦒꦫ; Indonesian: Universitas Diponegoro, abbreviated as Undip) is a public university in Semarang, Central Java, Indonesia. Founded in 1957 as a private university by the Semarang University Foundation, which later in 1960 became public university, and named after Javanese Prince Diponegoro. It is a pioneer of higher learning institutions in Indonesia and the first and oldest education corporation in Central Java. Nationally, Undip is in sixth position in Ministry of Research, Technology and Higher Education's 2017 ranking and is one of the top 1,000 universities in the world by the 2019 QS World University Rankings.",16.2
Dokuz Eylül University,"Dokuz Eylül University (Turkish: Dokuz Eylül Üniversitesi) (DEÜ) is a university in İzmir, Turkey. It was founded in 1982 and is organized in 15 faculties. DEU is the first university which applied the problem-based learning method in Turkey, beginning in the School of Medicine in 1997. Several components of Dokuz Eylül University have attained a goal of continuous development in education, research and practice through the ISO 9001 2000 Quality Management System certificate: Social Sciences Institute and School of Maritime Business and Management (2001), University Presidency (2003) and Medical Faculty and Health Sciences Institute (2004).",25.5
Don State Technical University,"Don State Technical University (Russian: Донской государственный технический университет; Donskoi gosudarstvenny tehnicheski universitet) is a university in Rostov-on-Don, Russia.",30.450000000000003
Autonomous University of Baja California,"The Autonomous University of Baja California (UABC) (Spanish: Universidad Autónoma de Baja California) is a public institution of higher education in Baja California. Established in 1957, UABC has its headquarters located in the city of Mexicali. The UABC has three main campuses in the cities of Ensenada, Mexicali, and Tijuana. UABC maintains five sub campuses in the cities of Rosarito, San Quintin, Tecate, Valle Dorado in Ensenada, and the suburban region of Valle de Las Palmas in Tijuana. The institution also operates three Units of Basic Formation in the cities of San Felipe, Ciudad Morelos, and Guadalupe Victoria. Under the Subsecretary of Higher Education, UABC belongs to the General Management of Higher Learning Institutions (DGESU), a part of the nation's eight-tier public higher education system, which also includes the General Coordination of Technological Universities (CGUT), the General Management of Technological Higher Learning (DGEST), the General Management of Higher Learning for Educators (DGESPE), the General Management of Professions (DGP), the Copyrights National Institute (INDAUTOR), the National Pedagogical University (UPN), and the Coordination of Polytechnic Universities (CUP). UABC follows Mexico's higher education format: tronco común (general education requirements), técnico superior (associate degree), licenciatura (bachelor's degree), maestria (master's degree), and doctorado (doctorate).",16.2
Autonomous University of Sinaloa,"The Autonomous University of Sinaloa (Spanish: Universidad Autónoma de Sinaloa, UAS) is a Mexican public university based in the city of Culiacán, Sinaloa, but with several campuses across the state.",25.5
Marmara University,"Marmara University (Turkish: Marmara Üniversitesi) is a public university in Istanbul, Turkey. The university is named after the Sea of Marmara and was founded as a university in 1982. However, it was created in 1883 under the name of Hamidiye Ticaret Mekteb-i Âlisi, in a house in the center of Istanbul. It offers courses in five languages (Turkish, English, German, French, Arabic), the only multilingual university in Turkey. The university has 13 campuses, 11 institutes, 8 colleges and 28 research centers. Prominent alumni include Turkish President Recep Tayyip Erdogan, comic actor Kemal Sunal and media mogul Aydın Doğan.",16.2
Plekhanov Russian University of Economics,"The Plekhanov Russian University of Economics (Russian: Российский экономический университет имени Г. В. Плеханова) is a public research university in Moscow, Russia. It was founded in 1907 by entrepreneur Alexei Vishnyakov as the first finance-specialized college in the Russian Empire. During the Soviet rule it became a large university. In addition to accreditation by the Ministry of Education, the university has accreditations of the Association of Chartered Certified Accountants, European Council for Business Education and the Association of MBAs. PRUE is also a member of the European University Association (suspended in 2022 due to the 2022 Russian invasion of Ukraine), Association to Advance Collegiate Schools of Business, and the European Foundation for Management Development. PRUE changed its name more than once: Moscow Commercial Institute (1907–1919); Karl Marx Moscow Institute of the National Economy (1919–1924); Plekhanov Moscow Institute of the National Economy (1924–1991); Plekhanov Russian Academy of Economics (1992–2010); Plekhanov Russian University of Economics (2010 to present). Recently, Plekhanov University acquired the Russian State University of Trade and Economics and the Moscow State University of Economics, Statistics, and Informatics.",30.450000000000003
